NORAD Catalog Number		Name
900	,	CALSPHERE 1
902	,	CALSPHERE 2
1361	,	LCS 1
1512	,	TEMPSAT 1
1520	,	CALSPHERE 4A
2826	,	OPS 5712 (P/L 160)
2872	,	SURCAL 159
2874	,	OPS 5712 (P/L 153)
2909	,	SURCAL 150B
5398	,	RIGIDSPHERE 2 (LCS 4)
6893	,	EXPLORER 50 (IMP-8)
7530	,	OSCAR 7 (AO-7)
7646	,	STARLETTE
8820	,	LAGEOS 1
10271	,	VOYAGER 2
10321	,	VOYAGER 1
11004	,	ISEE 3 (ICE)
11060	,	TIROS N
11086	,	RADIO 2 (RS-2)
11416	,	NOAA 6
14781	,	UOSAT 2 (UO-11)
15427	,	NOAA 9
16908	,	AJISAI (EGS)
19548	,	TDRS 3
19822	,	AKEBONO (EXOS-D)
20253	,	FLTSATCOM 8 (USA 46)
20442	,	LUSAT (LO-19)
20580	,	HST
20776	,	SKYNET 4C
20959	,	NAVSTAR 22 (USA 66)
21639	,	TDRS 5
22049	,	GEOTAIL
22195	,	LAGEOS 2
22231	,	NAVSTAR 28 (USA 85)
22314	,	TDRS 6
22490	,	SCD 1
22787	,	UFO 2 (USA 95)
22824	,	STELLA
22825	,	EYESAT-1 (AO-27)
22826	,	ITAMSAT (IO-26)
22877	,	NAVSTAR 35 (USA 96)
22988	,	USA 99 (MILSTAR-1 1)
23027	,	NAVSTAR 36 (USA 100)
23223	,	USA 105
23331	,	ASTRA 1D
23333	,	WIND
23439	,	RADIO ROSTO (RS-15)
23467	,	UFO 4 (USA 108)
23536	,	BRASILSAT B2
23553	,	AMSC 1
23613	,	TDRS 7
23628	,	USA 113
23696	,	UFO 6 (USA 114)
23712	,	USA 115 (MILSTAR-1 2)
23726	,	SOHO
23788	,	GONETS-D1 2
23802	,	POLAR
23839	,	INMARSAT 3-F1
23842	,	ASTRA 1F
23846	,	MSAT M1
23855	,	USA 118
23893	,	USA 119
23967	,	UFO 7 (USA 127)
24278	,	JAS-2 (FO-29)
24307	,	INMARSAT 3-F2
24315	,	AMC-1 (GE-1)
24653	,	AFRICASAT-2 (MEASAT-2)
24674	,	INMARSAT 3-F3
24713	,	AMC-2 (GE-2)
24732	,	INTELSAT 26 (IS-26)
24737	,	USA 130 (DSP 18)
24753	,	DMSP 5D-2 F14 (USA 131)
24793	,	IRIDIUM 7
24812	,	GALAXY 25 (G-25)
24837	,	IRIDIUM 12
24839	,	IRIDIUM 10
24840	,	IRIDIUM 13
24869	,	IRIDIUM 15
24872	,	IRIDIUM 18
24876	,	NAVSTAR 43 (USA 132)
24904	,	IRIDIUM 25
24905	,	IRIDIUM 46
24906	,	IRIDIUM 23
24912	,	ACE
24916	,	INTELSAT 5 (IS-5)
24920	,	FORTE
24936	,	AMC-3 (GE-3)
24945	,	IRIDIUM 32
24950	,	IRIDIUM 31
24957	,	NSS-5
24966	,	IRIDIUM 35
24968	,	IRIDIUM 37
25017	,	USA 133
25019	,	USA 134
25030	,	NAVSTAR 44 (USA 135)
25034	,	USA 136
25040	,	IRIDIUM 41
25042	,	IRIDIUM 39
25071	,	ASTRA 1G
25104	,	IRIDIUM 45
25106	,	IRIDIUM 47
25112	,	ORBCOMM FM08
25113	,	ORBCOMM FM10
25114	,	ORBCOMM FM11
25115	,	ORBCOMM FM12
25116	,	ORBCOMM FM09
25117	,	ORBCOMM FM05
25118	,	ORBCOMM FM06
25119	,	ORBCOMM FM07
25152	,	BRASILSAT B3
25153	,	INMARSAT 3-F5
25159	,	ORBCOMM FM04
25160	,	CELESTIS-02 & TAURUS R/B
25169	,	IRIDIUM 52
25170	,	IRIDIUM 56
25171	,	IRIDIUM 54
25172	,	IRIDIUM 50
25173	,	IRIDIUM 53
25239	,	NSS-806
25258	,	UFO 8 (USA 138)
25263	,	IRIDIUM 61
25272	,	IRIDIUM 55
25274	,	IRIDIUM 58
25275	,	IRIDIUM 59
25276	,	IRIDIUM 60
25285	,	IRIDIUM 62
25287	,	IRIDIUM 64
25288	,	IRIDIUM 65
25289	,	IRIDIUM 66
25290	,	IRIDIUM 67
25291	,	IRIDIUM 68
25336	,	USA 139
25338	,	NOAA 15
25342	,	IRIDIUM 70
25343	,	IRIDIUM 72
25346	,	IRIDIUM 75
25354	,	CHINASAT 5A (ZX 5A)
25358	,	THOR III
25371	,	INTELSAT 805 (IS-805)
25397	,	TECHSAT 1B (GO-32)
25414	,	ORBCOMM FM18
25415	,	ORBCOMM FM19
25416	,	ORBCOMM FM20
25417	,	ORBCOMM FM16
25418	,	ORBCOMM FM15
25419	,	ORBCOMM FM14
25420	,	ORBCOMM FM13
25432	,	IRIDIUM 76
25462	,	ASTRA 2A
25468	,	IRIDIUM 81
25469	,	IRIDIUM 80
25475	,	ORBCOMM FM21
25477	,	ORBCOMM FM23
25481	,	ORBCOMM FM27
25504	,	SCD 2
25528	,	IRIDIUM 86
25530	,	IRIDIUM 84
25531	,	IRIDIUM 83
25544	,	ISS (ZARYA)
25560	,	SWAS
25575	,	ISS (UNITY)
25577	,	IRIDIUM 20
25578	,	IRIDIUM 11
25621	,	GLOBALSTAR M023
25630	,	JCSAT-4A
25635	,	ORSTED
25639	,	SKYNET 4E
25652	,	GLOBALSTAR M037
25657	,	ASIASAT 3S
25682	,	LANDSAT 7
25740	,	NIMIQ 1
25744	,	USA 144
25757	,	DLR-TUBSAT
25777	,	IRIDIUM 14
25778	,	IRIDIUM 21
25785	,	ASTRA 1H
25789	,	QUIKSCAT
25867	,	CXO
25894	,	ABS-7
25924	,	ABS-6
25933	,	NAVSTAR 46 (USA 145)
25949	,	TELSTAR 12 (ORION 2)
25954	,	AMC-4 (GE-4)
25967	,	UFO 10 (USA 146)
25980	,	ORBCOMM FM30
25981	,	ORBCOMM FM31
25982	,	ORBCOMM FM32
25983	,	ORBCOMM FM33
25984	,	ORBCOMM FM36
25985	,	ORBCOMM FM35
25986	,	ORBCOMM FM34
25989	,	XMM-NEWTON
25991	,	DMSP 5D-3 F15 (USA 147)
25994	,	TERRA
26034	,	CELESTIS-03 & TAURUS R/B
26038	,	GALAXY 11 (G-11)
26052	,	USA 148
26081	,	GLOBALSTAR M063
26095	,	SUPERBIRD-B2
26102	,	MTI
26107	,	ASIASTAR
26113	,	IMAGE
26356	,	USA 149 (DSP 20)
26360	,	NAVSTAR 47 (USA 150)
26369	,	EUTELSAT 80A
26388	,	TDRS 8
26400	,	ISS (ZVEZDA)
26402	,	ECHOSTAR 6
26407	,	NAVSTAR 48 (USA 151)
26410	,	CLUSTER II-FM7 (SAMBA)
26411	,	CLUSTER II-FM6 (SALSA)
26451	,	INTELSAT 9 (IS-9)
26463	,	CLUSTER II-FM5 (RUMBA)
26464	,	CLUSTER II-FM8 (TANGO)
26469	,	BRASILSAT B4
26470	,	NILESAT 102
26473	,	USA 152
26494	,	ASTRA 2B
26495	,	AMC-7 (GE-7)
26554	,	NSS-11 (AAP-1)
26559	,	N-SAT-110 (JCSAT-110)
26575	,	USA 153
26580	,	AMC-6 (GE-6)
26590	,	INTELSAT 12 (IS-12)
26605	,	NAVSTAR 49 (USA 154)
26608	,	INTELSAT 1R (IS-1R)
26624	,	ANIK F1
26638	,	ASTRA 2D
26639	,	AMC-8 (GE-8)
26690	,	NAVSTAR 50 (USA 156)
26694	,	SICRAL 1
26695	,	SKYNET 4F
26700	,	ISS (DESTINY)
26702	,	ODIN
26715	,	USA 157 (MILSTAR-2 2)
26719	,	EUTELSAT 33C
26720	,	BSAT-2A
26734	,	MARS ODYSSEY
26766	,	INTELSAT 10 (IS-10)
26824	,	INTELSAT 901 (IS-901)
26853	,	ASTRA 2C
26857	,	ICO F2
26880	,	USA 159 (DSP 21)
26900	,	INTELSAT 902 (IS-902)
26927	,	EUTELSAT 12 WEST B
26931	,	PCSAT (NO-44)
26934	,	USA 161
26958	,	PROBA-1
26959	,	BIRD 2
26985	,	DIRECTV 4S
26998	,	TIMED
27004	,	MAROC-TUBSAT
27056	,	COSMOS 2385
27057	,	COSMOS 2386
27168	,	USA 164 (MILSTAR-2 3)
27370	,	RHESSI
27372	,	IRIDIUM 91
27373	,	IRIDIUM 90
27374	,	IRIDIUM 94
27375	,	IRIDIUM 95
27376	,	IRIDIUM 96
27378	,	ECHOSTAR 7
27380	,	INTELSAT 904 (IS-904)
27389	,	TDRS 9
27399	,	JCSAT 2A
27400	,	ASTRA 3A
27403	,	INTELSAT 903 (IS-903)
27414	,	NSS-7
27424	,	AQUA
27426	,	DIRECTV 5 (TEMPO 1)
27434	,	OFEQ 5
27438	,	INTELSAT 905 (IS-905)
27441	,	EXPRESS-A4
27445	,	GALAXY 3C (G-3C)
27450	,	IRIDIUM 97
27451	,	IRIDIUM 98
27460	,	EUTELSAT 5 WEST A
27461	,	N-STAR C
27464	,	COSMOS 2390
27465	,	COSMOS 2391
27508	,	EUTELSAT 36 WEST A
27509	,	METEOSAT-8 (MSG-1)
27513	,	INTELSAT 906 (IS-906)
27525	,	KALPANA-1 (METSAT 1)
27528	,	HISPASAT 1D
27540	,	INTEGRAL
27566	,	TDRS 10
27603	,	NSS-6
27606	,	LATINSAT B
27607	,	SAUDISAT 1C (SO-50)
27612	,	LATINSAT A
27632	,	NIMIQ 2
27640	,	CORIOLIS
27651	,	SORCE
27663	,	NAVSTAR 51 (USA 166)
27683	,	INTELSAT 907 (IS-907)
27691	,	USA 167
27704	,	NAVSTAR 52 (USA 168)
27711	,	USA 169 (MILSTAR-2 4)
27715	,	GALAXY 12 (G-12)
27718	,	ASIASAT 4
27811	,	HELLAS-SAT 2
27816	,	MARS EXPRESS
27825	,	THURAYA-2
27831	,	OPTUS C1
27843	,	MOST
27844	,	CUTE-1 (CO-55)
27848	,	CUBESAT XI-IV (CO-57)
27852	,	ECHOSTAR 12 (RAINBOW 1)
27854	,	GALAXY 23 (G-23)
27858	,	SCISAT 1
27868	,	COSMOS 2400
27869	,	COSMOS 2401
27871	,	SPITZER (SIRTF)
27875	,	USA 170
27937	,	USA 171
27939	,	MOZHAYETS 4 (RS-22)
27954	,	GALAXY 13 (HORIZONS-1)
28051	,	IRS-P6 (RESOURCESAT-1)
28054	,	DMSP 5D-3 F16 (USA 172)
28058	,	CHUANGXIN 1 (CX-1)
28089	,	YAMAL 202
28117	,	UFO 11 (USA 174)
28129	,	NAVSTAR 53 (USA 175)
28134	,	EXPRESS-AM22 (SESAT 2)
28154	,	AMC-10 (GE-10)
28158	,	USA 176 (DSP 22)
28169	,	ROSETTA
28184	,	ABS-4 (MOBISAT-1)
28187	,	EUTELSAT 7A
28190	,	NAVSTAR 54 (USA 177)
28220	,	SHIYAN 1 (SY-1)
28238	,	DIRECTV 7S
28252	,	AMC-11 (GE-11)
28254	,	FORMOSAT-2 (ROCSAT 2)
28358	,	INTELSAT 10-02
28361	,	NAVSTAR 55 (USA 178)
28364	,	APSTAR 5 (TELSTAR 18)
28366	,	APRIZESAT 2
28369	,	SAUDICOMSAT 1
28370	,	SAUDICOMSAT 2
28371	,	SAUDISAT 2
28372	,	APRIZESAT 1
28376	,	AURA
28378	,	ANIK F2
28380	,	COSMOS 2407
28384	,	USA 179
28413	,	SJ-6A
28414	,	SJ-6B
28419	,	COSMOS 2408
28420	,	COSMOS 2409
28446	,	AMC-15
28470	,	JB-3 3 (ZY 2C)
28472	,	AMC-16
28474	,	NAVSTAR 56 (USA 180)
28485	,	SWIFT
28492	,	HELIOS 2A
28493	,	NANOSAT-1
28521	,	COSMOS 2414
28526	,	NSS-10 (AMC-12)
28537	,	USA 181
28542	,	XTAR-EUR
28626	,	XM-3 (RHYTHM)
28628	,	INMARSAT 4-F1
28638	,	APSTAR 6
28644	,	SPACEWAY 1
28646	,	USA 182
28649	,	IRS-P5 (CARTOSAT-1)
28654	,	NOAA 18
28659	,	DIRECTV 8
28702	,	GALAXY 28 (G-28)
28707	,	EXPRESS-AM3
28737	,	SJ-7
28773	,	SUZAKU (ASTRO-EII)
28786	,	THAICOM 4
28788	,	MRO
28790	,	GALAXY 14 (G-14)
28810	,	REIMEI (INDEX)
28868	,	ANIK F1R
28874	,	NAVSTAR 57 (USA 183)
28884	,	GALAXY 15 (G-15)
28885	,	SYRACUSE 3A
28888	,	USA 186
28890	,	BEIJING 1
28893	,	SINAH 1
28895	,	CUBESAT XI 5
28899	,	INMARSAT 4-F2
28902	,	TELKOM 2
28903	,	SPACEWAY 2
28908	,	COSMOS 2416
28911	,	INSAT-4A
28912	,	METEOSAT-9 (MSG-2)
28924	,	EUTELSAT 172A (GE-23)
28935	,	ECHOSTAR 10
28937	,	HIMAWARI-7 (MTSAT-2)
28945	,	SPAINSAT
28946	,	EUTELSAT HOT BIRD 13E
29045	,	JCSAT-5A
29047	,	FORMOSAT-3 FM6
29048	,	FORMOSAT-3 FM1
29049	,	FORMOSAT-3 FM5
29050	,	FORMOSAT-3 FM3
29051	,	FORMOSAT-3 FM4
29052	,	FORMOSAT-3 FM2
29055	,	ASTRA 1KR
29079	,	EROS B
29107	,	CLOUDSAT
29108	,	CALIPSO
29155	,	GOES 13
29162	,	EUTELSAT 113 WEST A
29163	,	THAICOM 5
29228	,	RESURS-DK 1
29236	,	GALAXY 16 (G-16)
29249	,	USA 184
29252	,	GENESIS 1
29268	,	ARIRANG-2 (KOMPSAT-2)
29270	,	EUTELSAT HOT BIRD 13B
29272	,	JCSAT-3A
29273	,	SYRACUSE 3B
29349	,	KOREASAT 5 (MUGUNGWHA 5)
29398	,	ZHONGXING-22A
29479	,	HINODE (SOLAR-B)
29486	,	NAVSTAR 58 (USA 190)
29494	,	DIRECTV 9S
29495	,	OPTUS D1
